specs#image
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'iOS 13 Compatible', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/jnj7iq80/mobile/u/b/g/apple-iphone-xr-mryj2hn-a-original-imafa6zkm7qhv2zd.jpeg?q=70
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'iOS 13 Compatible', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/jnj7iq80/mobile/u/a/p/apple-iphone-xr-mryg2hn-a-original-imafa6zkzyntrt3t.jpeg?q=70
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'iOS 13 Compatible', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/jnj7iq80/mobile/3/f/a/apple-iphone-xr-mry62hn-a-original-imafa6zkhyceh8dg.jpeg?q=70
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/f/z/3/apple-iphone-xr-mrya2hn-a-original-imafbhyvbz2hmaxd.jpeg?q=70
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)', 'Face ID for Secure Authentication', 'Fast-charge Capable', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/y/z/f/apple-iphone-xr-mry72hn-a-original-imafbhywvgshhwhd.jpeg?q=70
['512 GB ROM', '14.73 cm (5.8 inch) Super Retina HD Display', '12MP + 12MP | 7MP Front Camera', 'A12 Bionic Chip Processor', '1 Year Limited Warranty for Products and Accessories']#https://rukminim1.flixcart.com/image/312/312/jm9hfgw0/mobile/y/4/u/apple-iphone-xs-mt9l2hn-a-original-imaf97f65bqbdycy.jpeg?q=70
['256 GB ROM', '11.94 cm (4.7 inch) Retina HD Display', '12MP Rear Camera | 7MP Front Camera', 'A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/j7ksia80/mobile/z/2/s/apple-iphone-8-mq6k2hn-a-original-imaexsbztghyprcg.jpeg?q=70
['64 GB ROM', '13.97 cm (5.5 inch) Retina HD Display', '12MP + 12MP | 7MP Front Camera', 'A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/j7ksia80/mobile/u/z/b/apple-iphone-8-plus-mq8j2hn-a-original-imaexsfmnxjcfc8t.jpeg?q=70
['128 GB ROM', '15.49 cm (6.1 inch) Display', '12MP Rear Camera | 7MP Front Camera', 'A12 Bionic Chip Processor', 'Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)', 'Face ID for Secure Authentication', 'Fast-charge Capable', 'Brand Warranty of 1 Year']#https://rukminim1.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/s/p/d/apple-iphone-xr-mry42hn-a-original-imafbhyxurw8y7zg.jpeg?q=70
['256 GB ROM', '16.51 cm (6.5 inch) Super Retina HD Display', '12MP + 12MP | 7MP Front Camera', 'A12 Bionic Chip Processor', 'iOS 13 Compatible', '1 Year Limited Warranty for Products and Accessories']#https://rukminim1.flixcart.com/image/312/312/jm9hfgw0/mobile/f/t/a/apple-iphone-xs-max-mt532hn-a-original-imaf97f6y3spd7yz.jpeg?q=70
